tiporesiduo,bairro,regiao,endereco,complemento,observacao,lat,lon
Eletroeletrônico,Recife,Centro,"Rua Domingos José Martins, 75, Recife, Recife",,,-80617605,-348738724
Eletroeletrônico,Recife,Centro,"Edifício Ministro Djaci Falcão, Cais do Apolo – Recife",,,-80584761,-348752464
Eletroeletrônico,Boa Viagem,Sul,"Rua Ernesto de Paula Santos, Empresarial Nestor Rocha, 1172. Boa Viagem, Recife",,,-81240023,-349083706
Eletroeletrônico,Derby,Noroeste,"Rua Henrique Dias, 609. Derby, Recife",,,-80591777,-349013927
Eletroeletrônico,Casa Forte,Noroeste,"Av. Dezessete de Agosto, 2187. Casa Forte, Recife",,,-80311251,-34927634
Eletroeletrônico,Ilha do Leite,Centro,"Av. Gov. Agamenon Magalhães, 4475 - Ilha do Leite, Recife",,,-80639936,-34899067
Eletroeletrônico,Espinheiro,Noroeste,"Av. Gov. Agamenon Magalhães, 2978 - Espinheiro, Recife",,,-80480403,-348953919
Eletroeletrônico,Graças,Noroeste,"Av. Rui Barbosa, 1104, Graças – Recife",,,-8042781,-34903612
Eletroeletrônico,Várzea,Oeste,"Rua Ministro Mário Andreaza, S/N, Várzea, Recife",,,-80660793,-349879686
Eletroeletrônico,Casa Forte,Noroeste,"Rua Dr. João Santos Filho, 255, Casa Forte - Recife",,,-80371544,-349170377
Eletroeletrônico,Boa Viagem,Sul,"Rua Belmonte, Nº 199, Boa Viagem - RECIFE/PE",,,-81333142,-349094507
Eletroeletrônico,Boa Viagem,Sul,"Rua José Cardoso Aires, nº 705, Boa Viagem - Recife/PE",,,-81415661,-349122182
Eletroeletrônico,Tamarineira,Noroeste,"Rua Sebastião Alves, nº 73, Tamarineira, Recife/PE",,,-80316316,-349079425
Eletroeletrônico,Pina,Sul,"Av. República do Líbano nº251, Pina, Recife/PE",,,-80370626,-349498685
Eletroeletrônico,Graças,Noroeste,"Rua Antenor Navarro, 81. Graças, Recife/PE",,,-80375974,-349044994
Eletroeletrônico,São José,Centro,"R. Santa Rita, 216 - São José, Recife - PE, 50020-320",,,-80705413,-348807705
Eletroeletrônico,Boa Viagem,Sul,"R. Antônio Luís Soares, 129 - Boa Viagem, Recife - PE, 51210-050",,,-81405929,-349189458
Eletroeletrônico,Recife,Centro,"Rua Bione, Cais do Apolo, 220, Recife - PE, 50030-390",,,-80582517,-348741831
Eletroeletrônico,Santo Antônio,Centro,"Rua da Palma, 333",,,-80658663,-348830303
Eletroeletrônico,Boa Viagem,Sul,Shopping Recife,,,-81028259,-349113759
Eletroeletrônico,Casa Amarela,Noroeste,"Rua Padre Lemos, 203 Loja 203 - Casa Amarela",,,-80249844,-349203791
Eletroeletrônico,Peixinhos,Norte,"Av. Presidente Kennedy, 2114 - Peixinhos/Olinda",,,-80125706,-348751807
Eletroeletrônico,Santo Antônio,Centro,"Rua da Palma, 251, 251 Loja - Santo Antônio",,,-80650356,-348827766
Eletroeletrônico,Pina,Sul,Shopping Rio Mar,,,-80862866,-348960435
Eletroeletrônico,Casa Forte,Noroeste,"Praça de Casa Forte, 465, Casa Forte - Recife",,,-80347982,-349211014
Eletroeletrônico,Ilha do Retiro,Oeste,"Rua Tabaiares, 360. Ilha do Retiro, Recife/PE",,,-80650241,-349072055
Eletroeletrônico,Aflitos,Noroeste,"Av. Rosa e Silva, 1510. Aflitos, Recife/PE",,,-80381858,-349018883
Eletroeletrônico,Bongi,Sudoeste,"Rua Dona Maria Augusta Nogueira, 519, Bongi - Recife-PE",,,-80651994,-349252734
Eletroeletrônico,Macaxeira,Noroeste,"Av. Norte Miguel Arraes de Alencar, s/n - Macaxeira, Recife",,,-80145811,-349337005
Eletroeletrônico,Rosarinho,Norte,"R. Regueira Costa, S/N - Rosarinho, Recife - PE, 52041-050",,,-80336766,-34900549
Eletroeletrônico,Pina,Sul,"Av. Eng. Domingos Ferreira, 2379 - Pina, Recife - PE, 51020-031",,,-81113807,-348947131
Eletroeletrônico,Cidade Universitária,Oeste,"Av. professor Luís Freire, 500, Cidade Universitária - Recife PE",,,-80589441,-349514295
Eletroeletrônico,Boa Vista,Centro,"R. João Fernandes Viêira, s/n - Boa Vista, Recife - PE,",,,-80534401,-348941205
Eletroeletrônico,Madalena,Oeste,"R. Benfica, 286, Madalena",,,-80590808,-349036982
Eletroeletrônico,Graças,Noroeste,"R. do Futuro, 514 - Graças",,,-80401792,-349026316
Eletroeletrônico,Aflitos,Noroeste,"Av. Conselheiro Rosa e Silva, 1339, Aflitos",,,-80399506,-349015436
Eletroeletrônico,Zumbi,Oeste,"R. Paraguassú, 255, Zumbi, Recife-pE",,,-80496016,-349195291
